Name: cctv-1, URL: http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 439 ms
Name: cctv-1, URL: http://123.182.60.29:9002/hls/1/index.m3u8, Date: None, Resolution: None, Response Time: 706 ms
Name: cctv-1, URL: http://122.9.151.210:6209/rtp/238.255.2.91:5999, Date: None, Resolution: None, Response Time: 3122 ms
Name: cctv-1, URL: https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8, Date: None, Resolution: None, Response Time: 66 ms
Name: cctv-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no, Date: None, Resolution: None, Response Time: 334 ms
Name: cctv-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 334 ms
Name: cctv-1, URL: http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8, Date: None, Resolution: None, Response Time: 325 ms
Name: cctv-1, URL: http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no, Date: None, Resolution: None, Response Time: 334 ms
Name: cctv-1, URL: http://gslbserv.itv.cmvideo.cn:80/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=IPTV, Date: None, Resolution: None, Response Time: 490 ms
Name: cctv-1, URL: http://gslbserv.itv.cmvideo.cn:80/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=IPTV, Date: None, Resolution: None, Response Time: 490 ms
Name: cctv-1, URL: http://110.53.218.182:9902udp://@238.0.0.1:8001, Date: None, Resolution: None, Response Time: 398 ms
Name: cctv-1, URL: https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8, Date: None, Resolution: None, Response Time: 72 ms
Name: cctv-1, URL: https://stream1.freetv.fun/ce5384774a118c8eccc8a7402ba31e40b0fd0e08e06a0220c0043cfca4400c14.m3u8, Date: None, Resolution: None, Response Time: 72 ms
